year,personID,name,gender,HL.50K,T.MTN,PL.50K,GS.100,MMTR,Hellgate,Total.Beast.Time
2008,P2071,Jarett Tighe,M,5:25:49,5:23:22,6:28:48,28:57:50,10:29:02,15:36:39,72:21:30
2008,P2076,Jay Finkle,M,5:52:30,5:19:47,7:09:16,29:12:42,10:02:43,16:34:06,74:11:04
2008,P2110,John Cooper,M,5:53:51,5:58:41,7:03:01,32:42:11,11:14:58,16:56:07,79:48:49
2008,P33,Keith Knipling,M,4:35:13,4:35:55,5:07:32,21:23:42,8:37:24,13:03:10,57:22:56
2008,P2142,Kent Gallup,M,5:09:03,5:33:14,6:13:40,24:44:23,9:18:38,13:52:12,64:51:10
2008,P35,Kerry Owens,F,6:05:56,6:43:57,7:10:20,28:02:58,10:54:40,15:55:51,74:53:42
2008,P194,Marc Griffin,M,5:03:47,5:54:24,6:37:44,30:50:15,9:28:13,16:07:49,74:02:12
2008,P191,Marianna Inslee,F,5:56:01,6:23:28,7:29:22,30:49:03,11:07:18,16:56:43,78:41:55
2008,P170,Michael Huff,M,5:24:16,5:20:57,6:21:23,26:26:05,10:40:16,15:37:27,69:50:24
2008,P135,Rebekah Trittipoe,F,5:48:38,6:15:27,7:12:22,34:26:37,10:54:40,17:14:05,81:51:49
2008,P78,Steve Core,M,4:44:23,4:46:26,5:45:33,25:01:50,8:59:51,15:09:25,64:27:28
